"chrom","start","end"
"chr7",32,124319
"chr7",147950,269906
"chr7",270962,406059
"chr7",407153,557570
"chr7",558582,693123
"chr7",694132,837122
"chr7",838126,1018887
"chr7",1020511,1152687
"chr7",1153687,1288880
"chr7",1289880,1408529
"chr7",1409549,1522893
"chr7",1523897,1640922
"chr7",1641925,1767082
"chr7",1771408,1899674
"chr7",1900692,2025906
"chr7",2026917,2152964
"chr7",2153981,2292459
"chr7",2293461,2417703
"chr7",2418714,2546754
"chr7",2549710,2672948
"chr7",2673954,2788240
"chr7",2789257,2930106
"chr7",2931139,3049255
"chr7",3050306,3181001
"chr7",3182028,3336237
"chr7",3337238,3456640
"chr7",3457641,3626092
"chr7",3627108,3740297
"chr7",3741320,3892606
"chr7",3896356,4036528
"chr7",4037558,4181602
"chr7",4182603,4304460
"chr7",4305463,4434945
"chr7",4445087,4564414
"chr7",4565448,4704774
"chr7",4705838,4853253
"chr7",4854275,5002703
"chr7",5003720,5196391
"chr7",5197540,5336358
"chr7",5337699,5520184
"chr7",5521244,5642028
"chr7",5643151,5815891
"chr7",5816902,5925625
"chr7",5926625,6049149
"chr7",6050164,6192561
"chr7",6193565,6330735
"chr7",6331754,6450997
"chr7",6452330,6585950
"chr7",6586950,6740018
"chr7",6741250,6923086
"chr7",6924128,7074991
"chr7",7076009,7212225
"chr7",7213438,7365137
"chr7",7366168,7483202
"chr7",7484388,7631627
"chr7",7632634,7773351
"chr7",7774401,7934037
"chr7",7935084,8085272
"chr7",8086291,8255370
"chr7",8256370,8394824
"chr7",8397374,8554695
"chr7",8555698,8879571
"chr7",8880697,9223769
"chr7",9224794,9414385
"chr7",9415436,9540543
"chr7",9541563,9717389
"chr7",9718437,9870930
"chr7",9871931,9991346
"chr7",9992351,10129508
"chr7",10132216,10270903
"chr7",10271938,10413350
"chr7",10414555,10550577
"chr7",10552635,10692456
"chr7",10694161,10821887
"chr7",10823263,10970291
"chr7",10971353,11193867
"chr7",11196613,11366621
"chr7",11367646,11517642
"chr7",11518688,11670553
"chr7",11682556,11822551
"chr7",11823573,11956352
"chr7",11957776,12083518
"chr7",12084532,12219906
"chr7",12221272,12368830
"chr7",12370417,12541515
"chr7",12542519,12671436
"chr7",12673031,12785895
"chr7",12786905,12934847
"chr7",12935913,13084510
"chr7",13085660,13244014
"chr7",13245040,13460338
"chr7",13461496,13648565
"chr7",13649582,13852507
"chr7",13853554,14029262
"chr7",14030304,14163895
"chr7",14164938,14334073
"chr7",14336426,14500373
"chr7",14501489,14615943
"chr7",14617002,14776890
"chr7",14781490,14914765
"chr7",14915774,15168214
"chr7",15169214,15299300
"chr7",15301110,15536277
"chr7",15537359,15739152
"chr7",15740205,15908890
"chr7",15909901,16039760
"chr7",16041490,16178177
"chr7",16179834,16344861
"chr7",16347297,16482876
"chr7",16483904,16623596
"chr7",16624647,16757587
