SNP,Chromosome,Position,WEIR_AND_COCKERHAM_FST
1_1,1,1,-0.000788046
1_5001,1,5001,-0.00418504
1_10001,1,10001,0.201287
1_15001,1,15001,0.144187
1_20001,1,20001,0.116074
1_25001,1,25001,0.0299001
1_30001,1,30001,0.00530304
1_35001,1,35001,0.126803
1_40001,1,40001,0.126803
1_70001,1,70001,-0.0325359
1_75001,1,75001,-0.0325359
1_80001,1,80001,-0.0231647
1_85001,1,85001,-0.0325359
1_90001,1,90001,-0.020041
1_95001,1,95001,-0.0371071
1_100001,1,100001,0.0651188
1_105001,1,105001,-0.0536979
1_110001,1,110001,-0.0536979
1_115001,1,115001,-0.0416784
1_120001,1,120001,-0.034715
1_125001,1,125001,-0.0325359
1_130001,1,130001,-0.0325359
1_135001,1,135001,0.00427197
1_140001,1,140001,-0.045296
1_145001,1,145001,0.0291965
1_150001,1,150001,-0.036238
1_155001,1,155001,-0.034715
1_160001,1,160001,0.0197812
1_175001,1,175001,0.638497
1_180001,1,180001,0.22723
1_185001,1,185001,0.700321
1_190001,1,190001,0.172788
1_195001,1,195001,0.165446
1_200001,1,200001,-0.0266427
1_205001,1,205001,-0.0129756
1_210001,1,210001,0.122632
1_215001,1,215001,-0.0139485
1_220001,1,220001,-0.0325359
1_240001,1,240001,0.0651188
1_245001,1,245001,0.0398458
1_250001,1,250001,-0.0135527
1_255001,1,255001,0.103737
1_260001,1,260001,0.0157203
1_265001,1,265001,0.163796
1_270001,1,270001,0.382271
1_275001,1,275001,0.041451
1_280001,1,280001,0.425678
1_285001,1,285001,0.190668
1_290001,1,290001,0.312911
1_295001,1,295001,0.0976221
1_300001,1,300001,0.158656
1_305001,1,305001,0.181058
1_310001,1,310001,0.110955
1_315001,1,315001,-0.050821
1_320001,1,320001,0.176402
1_325001,1,325001,0.122474
1_330001,1,330001,0.0560488
1_335001,1,335001,0.434819
1_340001,1,340001,0.482877
1_345001,1,345001,0.165563
1_350001,1,350001,-0.0172274
1_355001,1,355001,-0.0461787
1_360001,1,360001,0.0060161
1_365001,1,365001,0.193431
1_370001,1,370001,0.0788655
1_375001,1,375001,-0.0221686
1_380001,1,380001,0.020246
1_385001,1,385001,0.292428
1_390001,1,390001,0.15717
1_395001,1,395001,0.164998
1_400001,1,400001,0.123509
1_405001,1,405001,0.0884292
1_410001,1,410001,0.0143809
1_415001,1,415001,0.181058
1_420001,1,420001,0.425649
1_425001,1,425001,0.221492
1_430001,1,430001,0.324648
1_435001,1,435001,0.221079
1_440001,1,440001,0.0379318
1_445001,1,445001,0.3318
1_450001,1,450001,0.0318101
1_455001,1,455001,0.0389416
1_460001,1,460001,0.193335
1_465001,1,465001,0.0594757
1_470001,1,470001,0.498352
1_475001,1,475001,0.00756136
1_480001,1,480001,0.0222335
1_485001,1,485001,0.0188252
1_490001,1,490001,0.0863584
1_495001,1,495001,0.197129
1_500001,1,500001,0.048381
1_505001,1,505001,0.0962626
1_510001,1,510001,-0.0487328
1_515001,1,515001,0.151974
1_520001,1,520001,0.0688681
1_525001,1,525001,-0.0286216
1_530001,1,530001,-0.0282637
1_535001,1,535001,0.304978
1_555001,1,555001,-0.0368941
1_560001,1,560001,0.183507
1_565001,1,565001,0.123089
1_570001,1,570001,0.168824
1_575001,1,575001,0.245966
1_580001,1,580001,0.134443
1_585001,1,585001,0.114535
1_590001,1,590001,0.0368451
1_595001,1,595001,0.120568
1_600001,1,600001,0.242271
1_605001,1,605001,0.326305
1_610001,1,610001,0.281026
1_615001,1,615001,0.448137
1_620001,1,620001,0.416061
1_625001,1,625001,0.0928534
1_630001,1,630001,0.223009
1_635001,1,635001,0.264876
1_640001,1,640001,-0.0416784
1_645001,1,645001,-0.050821
1_650001,1,650001,0.0534327
1_655001,1,655001,0.0737827
1_660001,1,660001,0.0216306
1_665001,1,665001,0.0219408
1_670001,1,670001,0.0344323
1_675001,1,675001,0.182005
1_680001,1,680001,0.0716357
1_685001,1,685001,0.044858
1_690001,1,690001,-0.0605959
1_695001,1,695001,0.10986
1_700001,1,700001,0.0264722
1_705001,1,705001,0.0168509
1_710001,1,710001,0.083555
1_715001,1,715001,0.00714891
1_720001,1,720001,-0.050821
1_725001,1,725001,-0.050821
1_730001,1,730001,0.711334
1_735001,1,735001,0.272575
1_740001,1,740001,-0.016985
1_745001,1,745001,-0.050821
1_750001,1,750001,-0.0301244
1_760001,1,760001,-0.050821
1_765001,1,765001,0.334991
1_770001,1,770001,0.656239
1_775001,1,775001,0.243273
1_780001,1,780001,0.181058
1_785001,1,785001,-0.0139485
1_790001,1,790001,-0.0325359
1_795001,1,795001,0.0477843
1_800001,1,800001,0.0363675
1_805001,1,805001,-0.00693992
1_810001,1,810001,0.0152936
1_815001,1,815001,0.185269
1_820001,1,820001,-0.0325359
1_825001,1,825001,0.0735759
1_830001,1,830001,0.00231748
1_835001,1,835001,0.104618
1_840001,1,840001,-0.00965319
1_845001,1,845001,0.124618
1_850001,1,850001,-0.0138901
1_855001,1,855001,-0.0416784
1_860001,1,860001,0.130795
1_865001,1,865001,0.0056891
1_870001,1,870001,0.205783
1_875001,1,875001,0.172045
1_880001,1,880001,0.221709
1_885001,1,885001,0.165503
1_890001,1,890001,0.0188041
1_895001,1,895001,0.310348
1_900001,1,900001,0.0178897
1_905001,1,905001,0.0973348
1_910001,1,910001,0.0479852
1_915001,1,915001,0.339244
1_920001,1,920001,0.2581
1_925001,1,925001,0.109815
1_930001,1,930001,0.0116826
1_935001,1,935001,0.153454
1_940001,1,940001,-0.0250505
1_945001,1,945001,0.280431
1_950001,1,950001,-0.0356246
1_955001,1,955001,0.0783888
1_960001,1,960001,0.143567
1_965001,1,965001,0.000569476
1_970001,1,970001,0.0663414
1_975001,1,975001,0.111254
1_980001,1,980001,0.447296
1_985001,1,985001,0.0634075
1_990001,1,990001,0.111941
1_995001,1,995001,-0.00853666
1_1000001,1,1000001,0.137381
1_1005001,1,1005001,0.076109
1_1010001,1,1010001,-0.0178409
1_1015001,1,1015001,0.0221256
1_1020001,1,1020001,-0.040661
1_1025001,1,1025001,0.00810064
1_1030001,1,1030001,0.0251888
1_1035001,1,1035001,0.00850247
1_1040001,1,1040001,0.21765
1_1045001,1,1045001,-0.00121164
1_1050001,1,1050001,0.169616
1_1055001,1,1055001,0.102611
1_1060001,1,1060001,0.0232836
1_1065001,1,1065001,0.00437639
1_1070001,1,1070001,0.20355
1_1075001,1,1075001,-0.0183844
1_1080001,1,1080001,0.0214335
1_1085001,1,1085001,-0.050821
1_1090001,1,1090001,-0.0065256
1_1095001,1,1095001,0.255546
1_1100001,1,1100001,0.00526376
1_1105001,1,1105001,-0.00691383
1_1110001,1,1110001,-0.0325359
1_1115001,1,1115001,0.0349386
1_1120001,1,1120001,0.0103979
1_1125001,1,1125001,0.324039
1_1130001,1,1130001,-0.0426325
1_1135001,1,1135001,0.178692
1_1140001,1,1140001,0.0822092
1_1145001,1,1145001,0.0615882
1_1150001,1,1150001,0.031402
1_1155001,1,1155001,0.0561013
1_1160001,1,1160001,0.0345601
1_1165001,1,1165001,0.0641257
1_1170001,1,1170001,-0.0926064
1_1175001,1,1175001,0.172181
1_1180001,1,1180001,-0.0144074
1_1185001,1,1185001,0.0561755
1_1190001,1,1190001,-0.00940604
1_1195001,1,1195001,0.0112633
1_1200001,1,1200001,0.0967599
1_1205001,1,1205001,0.0651188
1_1210001,1,1210001,0.0347757
1_1215001,1,1215001,0.0950133
1_1220001,1,1220001,0.0407894
1_1225001,1,1225001,-0.0334493
1_1230001,1,1230001,0.140751
1_1235001,1,1235001,0.104039
1_1240001,1,1240001,0.0658464
1_1245001,1,1245001,0.215384
1_1250001,1,1250001,0.148214
1_1255001,1,1255001,0.0530116
1_1260001,1,1260001,0.129672
1_1265001,1,1265001,-0.0209006
1_1270001,1,1270001,-0.0228028
1_1275001,1,1275001,0.043082
1_1280001,1,1280001,-0.0316134
1_1285001,1,1285001,0.134456
1_1290001,1,1290001,0.200779
1_1295001,1,1295001,-0.0346862
1_1300001,1,1300001,0.00441892
1_1305001,1,1305001,0.0189553
1_1310001,1,1310001,0.0694744
1_1315001,1,1315001,-0.0462497
1_1320001,1,1320001,0.367019
1_1325001,1,1325001,0.109644
1_1330001,1,1330001,0.095873
1_1335001,1,1335001,-0.0379247
1_1340001,1,1340001,-0.00515202
1_1345001,1,1345001,0.132957
1_1350001,1,1350001,0.210517
1_1355001,1,1355001,-0.017407
1_1360001,1,1360001,-0.0352486
1_1365001,1,1365001,0.1223
1_1370001,1,1370001,-0.059421
1_1375001,1,1375001,-0.0870813
1_1385001,1,1385001,0.21778
1_1390001,1,1390001,0.16138
1_1395001,1,1395001,0.165331
1_1400001,1,1400001,0.119987
1_1405001,1,1405001,0.149134
1_1410001,1,1410001,0.233399
1_1415001,1,1415001,0.293153
1_1420001,1,1420001,-0.0224613
1_1425001,1,1425001,0.120997
1_1430001,1,1430001,0.177219
1_1435001,1,1435001,0.11435
1_1440001,1,1440001,0.150671
1_1445001,1,1445001,0.219506
1_1450001,1,1450001,-0.0404665
1_1455001,1,1455001,0.000663762
1_1460001,1,1460001,0.192004
1_1465001,1,1465001,0.250007
1_1470001,1,1470001,0.00703303
1_1475001,1,1475001,0.215055
1_1480001,1,1480001,0.0919766
1_1485001,1,1485001,0.0423326
1_1490001,1,1490001,0.142132
1_1495001,1,1495001,-0.00993517
1_1500001,1,1500001,-0.0222128
1_1505001,1,1505001,0.0985587
1_1510001,1,1510001,0.235102
1_1515001,1,1515001,-0.00449989
1_1520001,1,1520001,0.0736012
1_1525001,1,1525001,-0.0370316
1_1530001,1,1530001,0.199706
1_1535001,1,1535001,0.0865655
1_1540001,1,1540001,0.0864914
1_1545001,1,1545001,-0.0325359
1_1550001,1,1550001,-0.050821
1_1555001,1,1555001,0.065976
1_1560001,1,1560001,0.280668
1_1565001,1,1565001,-0.0257478
1_1570001,1,1570001,0.0732086
1_1575001,1,1575001,0.252638
1_1580001,1,1580001,0.128728
1_1585001,1,1585001,0.0634867
1_1590001,1,1590001,0.0766111
1_1595001,1,1595001,0.151473
1_1600001,1,1600001,0.193642
1_1605001,1,1605001,0.0874997
1_1610001,1,1610001,0.111634
1_1615001,1,1615001,0.14648
1_1620001,1,1620001,0.0708237
1_1625001,1,1625001,0.270647
1_1630001,1,1630001,0.174796
1_1635001,1,1635001,0.0447865
1_1640001,1,1640001,-0.00844355
1_1645001,1,1645001,0.371609
1_1650001,1,1650001,0.512419
1_1655001,1,1655001,-0.050821
1_1660001,1,1660001,0.231792
1_1665001,1,1665001,-0.050821
1_1670001,1,1670001,-0.0409573
1_1675001,1,1675001,0.240288
1_1685001,1,1685001,0.259002
1_1690001,1,1690001,0.247942
1_1695001,1,1695001,0.0221392
1_1700001,1,1700001,0.327056
1_1705001,1,1705001,0.101844
1_1710001,1,1710001,0.0967878
1_1715001,1,1715001,0.0516914
1_1720001,1,1720001,0.0256081
1_1725001,1,1725001,0.0976778
1_1730001,1,1730001,0.204948
1_1735001,1,1735001,-0.00413133
1_1740001,1,1740001,0.0707256
1_1745001,1,1745001,-0.050821
1_1750001,1,1750001,0.1167
1_1755001,1,1755001,0.15104
1_1760001,1,1760001,0.165238
1_1765001,1,1765001,0.0886382
1_1770001,1,1770001,0.183335
1_1775001,1,1775001,-0.00784247
1_1780001,1,1780001,0.0265515
1_1785001,1,1785001,-0.00552179
1_1790001,1,1790001,0.05151
1_1795001,1,1795001,0.0544396
1_1800001,1,1800001,0.0294852
1_1805001,1,1805001,0.0293265
1_1810001,1,1810001,0.067775
1_1815001,1,1815001,0.269787
1_1820001,1,1820001,0.00510754
1_1825001,1,1825001,0.232559
1_1830001,1,1830001,0.051548
1_1835001,1,1835001,-0.002802
1_1840001,1,1840001,0.0819699
1_1845001,1,1845001,0.12845
1_1850001,1,1850001,0.399572
1_1855001,1,1855001,0.0394082
1_1860001,1,1860001,0.0169104
1_1865001,1,1865001,0.2729
1_1870001,1,1870001,0.230671
1_1875001,1,1875001,0.0827596
1_1880001,1,1880001,0.103318
1_1885001,1,1885001,0.0651188
1_1890001,1,1890001,0.00527308
1_1895001,1,1895001,0.322581
1_1900001,1,1900001,0.289314
1_1905001,1,1905001,0.0708697
1_1910001,1,1910001,0.0327009
1_1925001,1,1925001,-0.0272869
1_1930001,1,1930001,0.172894
1_1945001,1,1945001,-0.0411949
1_1950001,1,1950001,-0.0527389
1_1955001,1,1955001,-0.0230243
1_1960001,1,1960001,0.333773
1_1965001,1,1965001,0.062952
1_1970001,1,1970001,0.0948553
1_1975001,1,1975001,0.376638
1_1980001,1,1980001,0.161649
1_1985001,1,1985001,0.098788
1_1990001,1,1990001,-0.0456212
1_1995001,1,1995001,0.0382648
1_2000001,1,2000001,0.0490295
1_2005001,1,2005001,0.209272
1_2010001,1,2010001,0.054083
1_2015001,1,2015001,0.261103
1_2020001,1,2020001,0.205297
1_2025001,1,2025001,0.211793
1_2030001,1,2030001,0.0661092
1_2035001,1,2035001,0.385268
1_2040001,1,2040001,-0.0139485
1_2045001,1,2045001,0.103765
1_2050001,1,2050001,-0.0525189
1_2055001,1,2055001,0.211864
1_2060001,1,2060001,0.174943
1_2065001,1,2065001,0.0715868
1_2070001,1,2070001,0.0236276
1_2075001,1,2075001,0.129132
1_2080001,1,2080001,0.0899986
1_2085001,1,2085001,0.215924
1_2090001,1,2090001,0.176737
1_2095001,1,2095001,0.0776355
1_2100001,1,2100001,0.175158
1_2105001,1,2105001,0.480368
1_2120001,1,2120001,0.34413
1_2125001,1,2125001,0.523644
1_2130001,1,2130001,0.395488
1_2135001,1,2135001,0.240213
1_2140001,1,2140001,0.133427
1_2145001,1,2145001,0.118019
1_2150001,1,2150001,0.232737
1_2155001,1,2155001,-0.0325359
1_2160001,1,2160001,0.121053
1_2165001,1,2165001,0.0578293
1_2170001,1,2170001,0.0928865
1_2175001,1,2175001,-0.015889
1_2195001,1,2195001,0.216543
1_2200001,1,2200001,0.283406
1_2205001,1,2205001,0.228254
1_2210001,1,2210001,-0.0475544
1_2215001,1,2215001,0.29447
1_2220001,1,2220001,0.280986
1_2225001,1,2225001,0.185636
1_2230001,1,2230001,0.00890109
1_2235001,1,2235001,0.225863
1_2240001,1,2240001,0.0394912
1_2245001,1,2245001,0.15327
1_2250001,1,2250001,-0.0239322
1_2255001,1,2255001,0.193362
1_2260001,1,2260001,0.114294
1_2265001,1,2265001,-0.0295741
1_2270001,1,2270001,0.181058
1_2275001,1,2275001,0.181058
1_2280001,1,2280001,0.181058
1_2285001,1,2285001,-0.0608426
1_2290001,1,2290001,0.228236
1_2295001,1,2295001,0.155061
1_2300001,1,2300001,0.377607
1_2305001,1,2305001,-0.0133287
1_2310001,1,2310001,0.0365324
1_2315001,1,2315001,0.188347
1_2320001,1,2320001,0.16789
1_2325001,1,2325001,-0.0222423
1_2330001,1,2330001,-0.0448632
1_2335001,1,2335001,0.00619095
1_2345001,1,2345001,-0.01952
1_2350001,1,2350001,-0.0539799
1_2355001,1,2355001,0.00797484
1_2360001,1,2360001,-0.0155072
1_2365001,1,2365001,0.0344724
1_2370001,1,2370001,-0.0386309
1_2375001,1,2375001,0.0264425
1_2380001,1,2380001,0.152576
1_2385001,1,2385001,0.00494871
1_2390001,1,2390001,0.16194
1_2395001,1,2395001,0.143645
1_2400001,1,2400001,-0.00637733
1_2405001,1,2405001,0.106736
1_2410001,1,2410001,0.193645
1_2420001,1,2420001,0.0982279
1_2425001,1,2425001,0.227017
1_2430001,1,2430001,0.00877188
1_2435001,1,2435001,0.154517
1_2440001,1,2440001,0.0432468
1_2445001,1,2445001,-0.0244178
1_2450001,1,2450001,0.0115729
1_2455001,1,2455001,0.320924
1_2460001,1,2460001,0.128859
1_2465001,1,2465001,0.0989891
1_2470001,1,2470001,0.0612725
1_2475001,1,2475001,0.00645656
1_2480001,1,2480001,0.191075
1_2485001,1,2485001,0.045147
1_2490001,1,2490001,0.653744
1_2500001,1,2500001,0.131682
1_2505001,1,2505001,0.164396
1_2510001,1,2510001,0.222391
1_2515001,1,2515001,0.00494871
1_2520001,1,2520001,0.354581
1_2525001,1,2525001,0.0137303
1_2530001,1,2530001,0.0214106
1_2535001,1,2535001,0.0887331
1_2540001,1,2540001,0.304251
1_2545001,1,2545001,-0.050821
1_2550001,1,2550001,0.0225777
1_2555001,1,2555001,0.129387
1_2560001,1,2560001,0.0888412
1_2565001,1,2565001,0.01146
1_2570001,1,2570001,0.381782
1_2575001,1,2575001,0.0193166
1_2580001,1,2580001,0.440692
1_2585001,1,2585001,0.0162978
1_2590001,1,2590001,0.0583674
1_2595001,1,2595001,0.211542
1_2600001,1,2600001,-0.0302399
1_2605001,1,2605001,0.167701
1_2610001,1,2610001,0.195236
1_2615001,1,2615001,0.00232289
1_2620001,1,2620001,0.129093
1_2625001,1,2625001,0.0440411
1_2630001,1,2630001,0.00716309
1_2635001,1,2635001,0.300323
1_2640001,1,2640001,0.156736
1_2645001,1,2645001,0.0820727
1_2650001,1,2650001,0.132392
1_2655001,1,2655001,-0.0325359
1_2665001,1,2665001,-0.0325359
1_2670001,1,2670001,0.259548
1_2675001,1,2675001,0.18312
1_2680001,1,2680001,0.204502
1_2685001,1,2685001,0.230981
1_2690001,1,2690001,0.217738
1_2695001,1,2695001,0.176509
1_2700001,1,2700001,0.0306912
1_2705001,1,2705001,0.0667356
1_2710001,1,2710001,0.154732
1_2715001,1,2715001,0.138971
1_2720001,1,2720001,0.200337
1_2725001,1,2725001,0.143394
1_2730001,1,2730001,0.334272
1_2735001,1,2735001,0.142823
1_2740001,1,2740001,0.251079
1_2745001,1,2745001,0.0415204
1_2750001,1,2750001,0.288995
1_2755001,1,2755001,0.143883
1_2760001,1,2760001,0.106577
1_2765001,1,2765001,0.0963423
1_2770001,1,2770001,0.267684
1_2775001,1,2775001,0.0485438
1_2780001,1,2780001,-0.0103547
1_2785001,1,2785001,0.300273
1_2790001,1,2790001,-0.021196
1_2795001,1,2795001,0.229845
1_2800001,1,2800001,0.131871
1_2805001,1,2805001,0.218745
1_2810001,1,2810001,0.206677
1_2815001,1,2815001,-0.000327716
1_2820001,1,2820001,-0.0370316
1_2825001,1,2825001,0.202959
1_2830001,1,2830001,0.188806
1_2835001,1,2835001,0.0627012
1_2840001,1,2840001,0.167112
1_2845001,1,2845001,0.0919787
1_2850001,1,2850001,-0.0462834
1_2855001,1,2855001,0.265533
1_2860001,1,2860001,0.0517476
1_2865001,1,2865001,0.0212556
1_2870001,1,2870001,0.0596593
1_2875001,1,2875001,-0.0425449
1_2880001,1,2880001,0.231047
1_2885001,1,2885001,0.033118
1_2890001,1,2890001,0.0431257
1_2895001,1,2895001,-0.0492012
1_2900001,1,2900001,0.355858
1_2905001,1,2905001,0.110447
1_2910001,1,2910001,-0.016523
1_2915001,1,2915001,0.169377
1_2920001,1,2920001,0.138206
1_2925001,1,2925001,0.0115681
1_2930001,1,2930001,-0.0353328
1_2935001,1,2935001,0.204494
1_2940001,1,2940001,0.182527
1_2945001,1,2945001,0.138615
1_2950001,1,2950001,0.0558666
1_2955001,1,2955001,0.00494871
1_2960001,1,2960001,0.0740241
1_2965001,1,2965001,0.344189
1_2970001,1,2970001,0.0421627
1_2975001,1,2975001,0.109496
1_2980001,1,2980001,0.302278
1_2985001,1,2985001,0.0822499
1_2995001,1,2995001,0.00882758
1_3000001,1,3000001,0.142843
1_3005001,1,3005001,0.192712
1_3010001,1,3010001,-0.0090967
1_3015001,1,3015001,0.102255
1_3020001,1,3020001,0.158023
1_3025001,1,3025001,0.0134162
1_3030001,1,3030001,0.405655
1_3035001,1,3035001,0.0277691
1_3040001,1,3040001,0.12583
1_3045001,1,3045001,0.102161
1_3050001,1,3050001,0.0480549
1_3055001,1,3055001,0.0328342
1_3060001,1,3060001,0.105752
1_3065001,1,3065001,0.112796
1_3070001,1,3070001,0.0140453
1_3075001,1,3075001,0.209397
1_3080001,1,3080001,0.14203
1_3085001,1,3085001,0.454428
1_3090001,1,3090001,0.420623
1_3095001,1,3095001,0.167277
1_3100001,1,3100001,0.189262
1_3105001,1,3105001,0.138513
1_3110001,1,3110001,0.244891
1_3115001,1,3115001,0.0860762
1_3120001,1,3120001,0.12766
1_3125001,1,3125001,0.153177
1_3130001,1,3130001,0.0168509
1_3135001,1,3135001,0.0663236
1_3140001,1,3140001,0.198931
1_3145001,1,3145001,-0.0323823
1_3150001,1,3150001,0.00246946
1_3155001,1,3155001,0.122451
1_3160001,1,3160001,0.288359
1_3165001,1,3165001,0.0168591
1_3170001,1,3170001,-0.0375622
1_3175001,1,3175001,-0.050821
1_3180001,1,3180001,0.0286382
1_3185001,1,3185001,0.0750605
1_3190001,1,3190001,0.393646
1_3195001,1,3195001,0.0938731
1_3200001,1,3200001,0.0215833
1_3205001,1,3205001,0.0780745
1_3210001,1,3210001,-0.0168616
1_3215001,1,3215001,0.0363598
1_3220001,1,3220001,0.066367
1_3225001,1,3225001,0.0956187
1_3230001,1,3230001,0.0171979
1_3235001,1,3235001,0.0651532
1_3240001,1,3240001,0.140262
1_3245001,1,3245001,0.200669
1_3250001,1,3250001,0.220885
1_3255001,1,3255001,0.0446356
1_3260001,1,3260001,0.0213354
1_3265001,1,3265001,0.0637579
1_3270001,1,3270001,0.176585
1_3275001,1,3275001,0.0122077
1_3280001,1,3280001,0.0886331
1_3285001,1,3285001,0.0353122
1_3290001,1,3290001,0.201118
1_3295001,1,3295001,0.0208627
1_3300001,1,3300001,0.106525
1_3305001,1,3305001,0.0119165
1_3310001,1,3310001,0.19189
1_3315001,1,3315001,0.0870685
1_3320001,1,3320001,0.0646229
1_3325001,1,3325001,0.23402
1_3330001,1,3330001,-0.0108308
1_3335001,1,3335001,0.0160943
